date,sleep,naps,sleepQuality,steps,exercise,sugar,read,write,meditation,mood,heartRate,,,,
4/15/2021,,,,609,No,,,,No,3,,,,,
4/16/2021,,,,216.965544,No,,,,No,4,,,,,
4/17/2021,10.00,No,Average,304.034456,Yes,,,,No,4,,,,,
4/18/2021,10.00,No,Average,641,No,,,,No,3,,,,,
4/19/2021,8.58,Yes,Excellent,122,No,,,,No,2,,,,,
4/20/2021,9.25,No,Average,178,No,,,,No,1,,,,,
4/21/2021,8.50,No,Average,2189,No,,,,No,4,,,,,
4/22/2021,7.50,No,Excellent,447,No,,,,No,2,,,,,
4/23/2021,9.00,No,Average,407,Yes,,,,Yes,3,,,,,
4/24/2021,6.33,Yes,Average,349,Yes,No,,,No,,,,,,
4/25/2021,7.75,No,Excellent,713,Yes,No,,,Yes,4,,,,,
4/26/2021,9.41,No,Average,3163,Yes,No,,,Yes,5,,,,,
4/27/2021,,,,477,,,,,,,,,,,
4/28/2021,6.75,Yes,Average,214,No,No,,,No,2,,,,,
4/29/2021,,,,280,No,Yes,,,No,5,,,,,
4/30/2021,,,,1353,No,No,,,Yes,3,,,,,
5/1/2021,,,,199,,,,,,,,,,,
5/2/2021,11.18,Yes,Excellent,113,Yes,Yes,,,No,3,,,,,
5/3/2021,8.33,No,Excellent,466,Yes,Yes,,,Yes,3,,,,,
5/4/2021,12.00,No,Excellent,321,Yes,Yes,,,Yes,3,,,,,
5/5/2021,8.00,No,Average,827,Yes,Yes,,,No,4,,,,,
5/6/2021,7.25,No,Average,557,,,,,,,,,,,
5/7/2021,4.30,No,Poor,2810,Yes,No,,,No,5,,,,,
5/8/2021,,,,284,No,No,,,No,3,,,,,
5/9/2021,8.61,Yes,Poor,290,No,No,No,Yes,No,3,,,,,
5/10/2021,7.06,No,Average,548,Yes,No,No,Yes,No,3,,,,,
5/11/2021,2.66,Yes,Poor,131,Yes,No,No,No,No,3,,,,,
5/12/2021,,,,136,,,,,,,,,,,
5/13/2021,,,,101,,,,,,,,,,,
5/14/2021,7.00,Yes,Average,129,No,Yes,Yes,No,No,1,,,,,
5/15/2021,2.50,Yes,Poor,65,,,,,,,,,,,
5/16/2021,,,,419.0600349,No,No,No,No,No,3,,,,,
5/17/2021,,,,324.9399651,No,No,No,Yes,No,4,,,,,
5/18/2021,,No,Average,36,No,No,Yes,Yes,Yes,4,,,,,
5/19/2021,,Yes,Average,76,No,Yes,No,Yes,No,2,,,,,
5/20/2021,,No,Excellent,78,Yes,Yes,No,No,Yes,5,,,,,
5/21/2021,,No,Excellent,672.4323873,No,No,No,No,No,4,,,,,
5/22/2021,,,,33,No,No,No,Yes,No,2,,,,,
5/23/2021,,Yes,Average,635,No,No,No,No,No,3,,,,,
5/24/2021,,Yes,Average,372,Yes,No,Yes,Yes,No,3,,,,,
5/25/2021,0,Yes,Poor,275,No,No,No,No,No,3,,,,,
5/26/2021,4,Yes,Poor,638,Yes,Yes,No,No,No,2,,,,,
5/27/2021,11,No,Average,4396.48414,,,,,,,82.5,,,,
5/28/2021,7,No,Average,1310.580968,,,,,,,,,,,
5/29/2021,4,No,Poor,1793.378965,No,Yes,No,Yes,No,4,,,,,
5/30/2021,11,No,Average,8189.732888,Yes,Yes,No,No,No,4,,,,,
5/31/2021,10,No,Average,4021.979967,No,No,No,No,No,3,,,,,
6/1/2021,7.5,No,Average,3704.128548,No,Yes,No,Yes,No,3,,,,,
6/2/2021,10,No,Average,3056.944908,No,No,Yes,No,No,4,80.5,,,,
6/3/2021,11,No,Poor,407,Yes,No,Yes,No,Yes,3,,,,,
6/4/2021,10,No,Poor,0,No,Yes,No,No,No,3,86,,,,
6/5/2021,11,No,Poor,4796.165275,No,Yes,No,No,Yes,3,92.5,,,,
6/6/2021,7,No,Poor,8108.519199,Yes,Yes,No,No,No,3,,,,,
6/7/2021,12,No,Poor,8096.100167,Yes,Yes,Yes,Yes,No,3,76,,,,
6/8/2021,10,No,Poor,6881.03005,Yes,Yes,Yes,No,No,4,104,,,,
6/9/2021,11.516,No,Poor,7116.871452,Yes,Yes,Yes,Yes,Yes,3,83,,,,
6/10/2021,8.449,No,Average,7415.617696,Yes,Yes,No,No,No,2,68,,,,
6/11/2021,9.449,Yes,Poor,5725.237062,Yes,No,Yes,No,No,5,,,,,
6/12/2021,5.599,No,Poor,4583.542666,Yes,No,No,No,No,2,,,,,
6/13/2021,4.383,No,Poor,3413.667685,Yes,No,Yes,Yes,Yes,2,,,,,
6/14/2021,9.283,No,Average,8384.51586,Yes,No,Yes,Yes,No,3,,,,,
6/15/2021,13.049,No,Average,6948.352254,Yes,No,Yes,No,No,1,,,,,
,,,,,,,,,,,,,,,
3/2/1900,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
