SleepTime,WakeTime,Duration
10/1/20 2:00 AM,10/1/20 9:00 AM,7:00
10/2/20 2:00 AM,10/2/20 11:20 AM,9:20
10/3/20 2:00 AM,10/3/20 11:00 AM,9:00
10/20/20 1:00 AM,10/20/20 11:00 AM,10:00
10/21/20 3:00 AM,10/21/20 11:53 AM,8:53
10/22/20 1:00 AM,10/22/20 10:45 AM,9:45
10/23/20 1:00 AM,10/23/20 7:00 AM,6:00
10/29/20 2:30 AM,10/29/20 9:30 AM,7:00
11/5/20 12:00 AM,11/5/20 8:45 AM,8:45
11/5/20 10:00 PM,11/6/20 9:00 AM,11:00
11/6/20 10:30 PM,11/7/20 9:00 AM,10:30
11/7/20 10:00 PM,11/8/20 7:45 AM,9:45
11/8/20 11:30 PM,11/9/20 8:45 AM,9:15
11/9/20 11:00 PM,11/10/20 8:40 AM,9:40
11/11/20 3:00 AM,11/11/20 9:30 AM,6:30
11/12/20 12:30 AM,11/12/20 6:40 AM,6:10
11/13/20 10:30 PM,11/14/20 9:30 AM,11:00
11/15/20 12:00 AM,11/15/20 10:30 AM,10:30
11/16/20 1:00 AM,11/16/20 10:00 AM,9:00
11/17/20 1:30 AM,11/17/20 10:00 AM,8:30
11/18/20 1:30 AM,11/18/20 6:30 AM,5:00
11/19/20 12:00 AM,11/19/20 9:30 AM,9:30
11/20/20 12:00 AM,11/20/20 5:40 AM,5:40
11/21/20 1:00 AM,11/21/20 11:00 AM,10:00
11/22/20 1:00 AM,11/22/20 9:30 AM,8:30
11/23/20 3:30 AM,11/23/20 11:00 AM,7:30
11/24/20 4:30 AM,11/24/20 10:00 AM,5:30
11/25/20 12:00 AM,11/25/20 7:30 AM,7:30
11/26/20 12:00 AM,11/26/20 5:40 AM,5:40
11/27/20 12:30 AM,11/27/20 10:00 AM,9:30
11/28/20 4:30 AM,11/28/20 11:00 AM,6:30
11/28/20 11:00 PM,11/29/2020 6:20 AM,7:20
11/30/20 12:00 AM,11/30/20 5:10 AM,5:10
12/1/20 12:30 AM,12/1/20 10:00 AM,9:30
12/2/20 2:00 AM,12/2/20 11:40 AM,9:40
12/3/20 2:00 AM,12/3/20 10:40 AM,8:40
12/4/20 2:00 AM,12/4/20 7:45 AM,5:45
12/5/20 1:00 AM,12/5/20 8:00 AM,7:00
12/6/20 12:00 AM,12/6/20 6:00 AM,6:00
12/7/20 12:00 AM,12/7/20 10:45 AM,10:45
12/8/20 3:30 AM,12/8/20 11:30 AM,8:00
12/9/20 3:00 AM,12/9/20 11:00 AM,8:00
12/10/20 3:30 AM,12/10/20 9:00 AM,5:30
12/11/20 12:30 AM,12/11/20 11:00 AM,10:30
12/12/20 9:00 AM,12/12/20 1:00 PM,4:00
12/13/20 2:00 AM,12/14/20 11:30 AM,9:30
12/15/20 5:00 AM,12/16/20 11:45 AM,6:45
12/17/20 1:00 AM,12/17/20 11:00 AM,10:00
12/18/20 12:30 AM,12/18/20 8:00 AM,7:30
12/19/20 2:30 AM,12/19/20 11:00 AM,8:30
12/20/20 2:30 AM,12/20/20 11:00 AM,8:30
12/21/20 12:30 AM,12/21/20 7:00 AM,6:30
12/21/20 10:30 PM,12/22/20 7:45 AM,9:15
12/22/20 11:00 PM,12/23/2020 7:00 AM,8:00
12/24/20 12:00 AM,12/24/20 5:47 AM,5:47
12/25/20 2:30 AM,12/25/20 8:00 AM,5:30
