Asleep Time ,Awake Time,Hours Asleep
6/29/20 3:20 AM,6/29/20 12:00 PM,8:40
6/30/20 4:30 AM,6/30/20 5:30 PM,13:00
7/1/20 9:00 AM,7/1/20 6:00 PM,9:00
7/2/20 9:00 AM,7/2/20 2:00 PM,5:00
7/3/20 1:00 AM,7/3/20 9:00 AM,8:00
7/4/20 5:00 AM,7/4/20 1:00 PM,8:00
7/5/20 2:30 AM,7/5/20 2:00 PM,11:30
7/6/20 3:00 AM,7/6/20 10:20 AM,7:20
7/7/20 2:00 AM,7/7/20 10:30 AM,8:30
7/8/20 2:00 AM,7/8/20 2:30 PM,12:30
7/9/20 7:00 AM,7/9/20 2:30 PM,7:30
7/10/20 7:00 AM,7/10/20 2:30 PM,7:30
7/11/20 1:30 AM,7/11/20 2:30 PM,13:00
7/12/20 1:30 AM,7/12/20 2:30 PM,13:00
7/13/20 7:00 AM,7/13/20 4:00 PM,9:00
7/14/20 7:00 AM,7/14/20 12:00 PM,5:00
7/15/20 2:20 AM,7/15/20 11:20 AM,9:00
7/16/20 2:30 AM,7/16/20 12:00 PM,9:30
7/17/20 7:00 AM,7/17/20 1:30 PM,6:30
7/18/20 7:00 AM,7/18/20 4:30 PM,9:30
7/19/20 7:00 AM,7/19/20 2:30 PM,7:30
7/20/20 5:00 AM,7/20/20 4:00 PM,11:00
7/21/20 8:00 AM,7/21/20 2:00 PM,6:00
7/22/20 7:00 AM,7/22/20 4:30 PM,9:30
7/23/20 5:00 AM,7/23/20 10:00 AM,5:00
7/23/20 11:00 PM,7/24/20 10:00 AM,11:00
7/25/20 12:15 AM,7/25/20 12:15 PM,12:00
7/26/20 12:30 AM,7/26/20 6:30 AM,6:00
7/26/20 11:00 PM,7/27/20 11:00 AM,12:00
7/27/20 11:00 PM,7/28/20 9:00 AM,10:00
7/29/20 1:00 AM,7/29/20 11:00 AM,10:00
7/30/20 8:00 AM,7/30/20 5:00 PM,9:00
7/31/20 7:00 AM,7/31/20 3:00 PM,8:00
8/1/20 3:30 AM,8/1/20 9:00 AM,5:30
8/2/20 2:30 AM,8/2/20 8:47 AM,6:17
8/2/20 8:30 PM,8/3/20 8:40 AM,12:10
